variant,seed,duration_s,outcome,mission_complete,fire_overrun,extinction_time_s,fire_damage,burning_health_mean,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,drones_lost,near_misses,min_distance_m,emergency_fraction,time_patrol,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,time_out_of_service,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_per_drone_m,control_effort_rate,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
copertura persistente,11,300.0,tempo scaduto,,False,,27126.06264999938,90.42020883333127,0,6,3,43.72571428571428,0,2.5471428571428585,0,0,0,1.0126353335962341,0.0,0.7010555555579634,0.13902777777769162,0.033777777777784804,0.0624583333333168,0.04816666666666313,0.015513888888888184,0.0,0.7991593344167359,0.0,6.192857142857056,13.639999999999754,228.41794840722446,0.9918384813190986,8,0.0,1.4204444444444415,0.024333333333333332,0.19438102486047756,0.02369444444444454,0.31471867651998625,54.27834627667869,22.939546041666606,87.68709666940781,131.04
copertura persistente,12,300.0,tempo scaduto,,False,,22300.958049998666,74.33652683332889,0,4,2,13.035000000000002,1,0.8399999999999999,0,0,0,0.9962147767028466,0.0,0.844875000005547,0.06213055555553932,0.018772222222221576,0.04108333333333624,0.02544166666666943,0.0076972222222226475,0.0,0.8128417302532743,0.0,6.542142857142781,17.489999999999934,246.64311901662944,1.006563323323589,4,0.0,1.0840555555555582,0.058333333333333334,0.11948944988696326,2.7777777777777776e-05,0.03882432129234909,49.62759973603295,15.157409548611133,88.99415291666661,80.29
copertura uniforme,1,300.0,tempo scaduto,,False,,64247.0788999803,214.156929666601,0,10,5,24.852999999999998,1,4.331,0,0,0,1.0062709692472354,0.0,0.6253722222229781,0.13957777777769112,0.044586111111110834,0.12974166666658896,0.03914166666667134,0.021580555555556345,0.0,0.8963076597480824,0.0,3.6130769230768895,10.97999999999981,245.30612239632754,0.7558571928733295,0,0.0,0.7508888888888889,0.0,0.17656250000000015,0.04447222222222227,1.3758337083708319,38.93320518464539,31.60844579861113,45.79794055646928,182.97
copertura uniforme,2,300.0,tempo scaduto,,False,,39486.71989999734,131.6223996666578,0,9,3,26.135714285714283,3,1.097142857142851,0,0,0,0.8805710111064619,0.0,0.7355027777809375,0.10746944444438698,0.03434166666667399,0.07756944444441417,0.027988888888892956,0.01712777777777675,0.0,0.8022309985314353,0.0,3.358666666666639,6.0499999999999154,253.92223465462064,0.7529801000815296,0,0.0,0.46688888888888935,0.0,0.1071481481481492,0.040222222222222055,1.8444659756647237,28.30260754477904,27.711893767361097,29.362334241593533,152.06
copertura uniforme,3,300.0,tempo scaduto,,False,,29438.615299998062,98.12871766666021,0,4,3,49.8625,1,1.4550000000000036,0,0,0,1.0690789476294784,0.0,0.8358527777831279,0.05180833333332648,0.025741666666669584,0.05110555555554935,0.02336388888889059,0.012127777777777746,0.0,0.7491386641553299,0.0,3.8231818181817805,7.019999999999895,256.77510092449893,0.8301497394844183,1,0.0,0.5567222222222225,0.0,0.09040800503949216,0.0037499999999999925,1.1653090172239113,32.56175662065137,29.84749248263888,35.398721516812834,156.88
copertura uniforme,4,300.0,tempo scaduto,,False,,24958.074999997145,83.19358333332382,0,7,4,23.97,0,2.6637500000000016,0,0,0,1.0404547536705486,0.0,0.7934138888933127,0.08151388888885504,0.035333333333341155,0.044374999999999915,0.02869722222222665,0.01666666666666573,0.0,0.6854791841950879,0.0,3.4436666666666373,7.999999999999874,252.87289247708128,0.7707906330359344,0,0.0,0.5171111111111112,0.0,0.11896417445482893,0.018944444444444486,0.8970678271308539,28.65162329599985,25.466799513888855,31.623051620065723,177.01
copertura uniforme,5,300.0,tempo scaduto,,False,,14398.79579999731,47.995985999991035,0,1,1,9.929999999999998,0,1.1899999999999942,0,0,0,1.1011725103094498,0.0,0.9010138888956614,0.03876666666667168,0.015744444444443693,0.02645000000000328,0.011358333333333455,0.006666666666666931,0.0,0.6024336500517455,0.0,3.407499999999971,5.459999999999928,257.3171140314068,1.039630566394149,3,0.0,0.7205000000000006,0.01,0.2561614294516315,0.001472222222222222,0.7471226698737254,39.65663419129355,39.396259184027784,40.3261590451388,174.82
copertura uniforme,6,300.0,tempo scaduto,,False,,31536.919749996807,105.12306583332268,0,7,4,29.43666666666667,2,1.1916666666666675,0,0,1,0.6378642035322527,0.0003333333333335471,0.7876777777820764,0.09837222222217304,0.025913888888891894,0.060777777777762776,0.016702777777776835,0.010555555555555835,0.0,0.8284301263107898,0.0,3.1647368421052393,4.629999999999946,259.6500218579643,0.8254147890936899,1,0.0,0.5234444444444448,0.0006666666666666666,0.17353366377529827,0.00769444444444445,1.6087534942821269,31.025366337765426,29.001497482638868,33.55231686494888,136.48
copertura uniforme,7,300.0,tempo scaduto,,False,,46027.339349998256,153.42446449999417,0,7,4,37.46857142857142,1,1.5071428571428531,0,0,0,0.9929432591767801,0.0,0.7041444444469197,0.10906944444438553,0.03848333333333861,0.09977499999994953,0.03075000000000548,0.017777777777776622,0.0,0.9063380569817552,0.0,3.3545454545454265,7.599999999999882,249.6405704331411,0.7818690524180226,0,0.0,0.6431666666666673,0.0,0.1401087962962952,0.011333333333333341,1.7933495217071505,34.33624607688443,32.952924045138936,35.90134828855993,177.3
copertura uniforme,8,300.0,tempo scaduto,,False,,30432.033249998523,101.4401108333284,0,9,4,26.421428571428578,3,1.892857142857137,0,0,0,1.0565083261063868,0.0,0.8420694444499303,0.056841666666655244,0.027997222222226295,0.042388888888890607,0.017930555555554478,0.012772222222222062,0.0,0.5901960813622399,0.0,2.8065217391304187,4.609999999999946,258.57137868505765,0.7975496279242758,0,0.0,0.5160555555555564,0.007,0.10342434617765499,0.0011666666666666676,0.6736827137924055,29.2463471237606,25.827492413194424,32.673079469115535,124.49000000000001
copertura uniforme,9,300.0,tempo scaduto,,False,,24916.248049999467,83.05416016666489,0,10,4,19.262500000000003,3,2.6262500000000024,0,0,0,1.0458108102686943,0.0,0.7600722222259182,0.09262222222217827,0.03143333333333916,0.08000833333330085,0.02253333333333461,0.013330555555555283,0.0,0.7272599371797415,0.0,3.5269565217390992,11.769999999999794,253.92060619291027,0.7974746741998592,3,0.0,0.6182222222222237,0.0,0.19027835004349092,0.04541666666666673,1.9313420604512794,27.634507447958423,23.322921631944386,31.139479809027776,133.58
copertura uniforme,10,300.0,tempo scaduto,,False,,28031.233500000504,93.43744500000167,0,8,3,30.422222222222224,0,1.3411111111111103,0,0,0,1.1016565431727272,0.0,0.8337638888941934,0.06094722222220706,0.032983333333339956,0.034208333333340585,0.023652777777779625,0.014444444444443951,0.0,0.7539129479951416,0.0,3.2749999999999746,5.479999999999928,254.94359195496568,0.8320499862439324,1,0.0,0.5275555555555554,0.0,0.10694304576480224,0.001027777777777778,1.0147890691716435,26.77646567660305,19.313173923611135,33.43494188322371,121.83
copertura uniforme,11,300.0,tempo scaduto,,False,,22254.009949999683,74.18003316666561,0,6,3,30.951428571428572,0,2.2314285714285758,0,0,0,1.0287403559583417,0.0,0.8367500000053697,0.062424999999983494,0.03113055555556123,0.027986111111115177,0.02870833333333777,0.012999999999999795,0.0,0.7120991728710396,0.0,3.9749999999999583,10.339999999999824,250.79315828186384,0.8777293872966623,3,0.0,0.7065555555555552,0.0,0.14435017596782324,0.006694444444444424,0.05122492697176244,29.34766182279523,24.512124270833322,33.5689356259138,123.78
copertura uniforme,12,300.0,tempo scaduto,,False,,8442.037199998585,28.140123999995286,0,4,2,4.29,2,0.8166666666666723,0,0,0,0.9962147767028466,0.0,0.8905972222287674,0.04273333333333474,0.017083333333332316,0.026602777777781136,0.01520555555555491,0.007777777777778216,0.0,0.511256190801561,0.0,3.9099999999999606,10.54999999999982,260.8353333980989,0.9079699596195457,0,0.0,0.5188888888888855,0.0,0.23644003055767676,0.0004722222222222221,0.624076467420572,28.017549374589716,23.304201093750006,32.18790427814325,132.23
