variant,seed,duration_s,outcome,mission_complete,fire_overrun,extinction_time_s,fire_damage,burning_health_mean,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,drones_lost,near_misses,min_distance_m,emergency_fraction,time_patrol,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,time_out_of_service,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_per_drone_m,control_effort_rate,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
urti con danni,9,131.66,tutti gli incendi spenti,True,False,131.66,57799.955279993555,439.00923044199874,0,0,5,2.258,0,1.3940000000000001,0,0,0,0.9975320119004644,0.0,0.04071092207200111,0.3753924249326584,0.15014684287807561,0.13770317484426242,0.22276444376919394,0.07328219150338139,0.0,0.9089597695680516,0.0,6.284821428571364,19.39000000000023,59.246741621594325,0.5033587778813763,1,0.0,2.8520770010131646,0.10562310030395136,0.873847517730496,0.18889311043566315,0.25011937397197126,19.023718060436472,13.87308890577509,32.15426342518185,131.6
urti con danni,10,153.91,tutti gli incendi spenti,True,False,153.91,73088.87865999174,474.8806358260785,0,0,5,0.8019999999999999,0,3.342,0,0,0,0.879873787081211,0.0,0.05473436857038464,0.3474270677666393,0.14246962510553013,0.24198124445007824,0.1486474779632552,0.06474021614364686,0.0,0.981180024663268,0.0,4.500655737704867,11.069999999999808,76.00303059510134,0.4754374492628178,2,0.0,2.7769114143383176,0.037037037037037035,0.9288986354775851,0.040448343079921976,0.9720637247202639,22.736461237753343,18.90881466231715,30.15975265267109,153.9
urti con danni,11,130.64,tutti gli incendi spenti,True,False,130.64000000000001,61054.20803999253,467.34696907526427,0,0,5,0.10800000000000001,0,2.008,0,0,0,1.0331053335117901,0.0,0.03318917125943956,0.33511941212471114,0.16512298428244893,0.21672790365370223,0.1743978362930549,0.0754426923862163,0.0,0.9598489521933413,0.0,4.409677419354798,19.560000000000258,62.47243581193349,0.5291279255785721,2,0.0,2.108856559469115,0.06508422664624809,0.8539656712608519,0.09437212863705963,0.1523564189189188,24.21110786107166,23.787669547145047,27.172313045709313,130.6
urti con danni,12,109.88,tutti gli incendi spenti,True,False,109.88,43992.86093999451,400.3718687658765,0,0,5,0.8039999999999999,0,0.7320000000000001,0,0,1,0.4981245604575671,0.0008039072928044133,0.029630809367795774,0.23816891153975503,0.17547172673214306,0.1785584273752661,0.2905290620068837,0.08764106297781081,0.0,0.9532498470358511,0.0,7.227924528301797,19.350000000000225,40.69487566448088,0.40983756479610395,2,0.0,2.619004250151794,0.061930783242258654,0.8660746812386146,0.4195506982392218,0.1325037310781033,16.849233843425395,11.97605428236869,27.582639210749697,108.98
"urti con danni, senza evitamento",1,393.93,tutti gli incendi spenti,True,False,393.93,124373.05703997482,315.72375051398683,0,0,5,1.104,0,1.03,5,10,57,0.09566383487404964,0.0,0.01049890420463845,0.059763155890616794,0.07216806708464167,0.023293055449787912,0.04783844845529648,0.0325776999297686,0.7538606689918186,0.9999420247486479,0.24000000000000007,2.82636363636362,6.019999999999916,183.8107066317392,0.2563137498465195,0,0.0,0.41221545231446055,0.0,0.4460023694677258,0.030422272996530362,0.8379038835851391,127.728902366849,133.42084864334151,122.02435491042078,393.90000000000003
"urti con danni, senza evitamento",2,55.95,nessun drone ancora in volo,False,False,,39350.03699999717,703.3071849865446,0,0,5,1.5699999999999998,0,1.2640000000000002,6,12,28,0.0949185067570825,0.0,0.07272862675007276,0.10266607089663143,0.18955913017579415,0.05881739648495786,0.08936550491509775,0.06851355376824458,0.41834971700906987,,0.0,2.473478260869556,3.379999999999972,24.12489062705025,0.24971286706195933,0,0.0,1.8997912939773376,0.0,0.7622898032200358,0.0,0.7448609980226052,14.843139257717603,13.970690646562742,15.839543196058786,55.9
"urti con danni, senza evitamento",3,49.92,nessun drone ancora in volo,False,False,,40580.05497999853,812.901742387791,0,0,5,6.3575,1,1.0300000000000002,6,12,30,0.08652751014479812,0.0,0.13596754807693104,0.1331964476495792,0.1341813568376139,0.07476963141025585,0.0637686965811982,0.05670739850427653,0.40140892094004793,,0.0,2.8792307692307517,5.969999999999917,28.1204055693045,0.27877395315245174,3,0.0,1.3221442885771537,0.0,0.37668670674682764,0.10420841683366733,1.906707256870144,14.054558071805136,14.02194378553024,13.760679657744816,49.9
"urti con danni, senza evitamento",4,105.78,nessun drone ancora in volo,False,False,,69404.16083999665,656.1179886556688,0,0,5,5.264,0,2.478,6,12,24,0.09638322336590459,0.0,0.027698997920213,0.08190741791140124,0.09709617445013718,0.02902249952732183,0.044282157937856385,0.045306296086214407,0.6746864561663879,,0.0,2.310833333333325,4.869999999999941,49.23993316968968,0.2703085052229674,0,0.0,1.2867234310942923,0.0,0.5062850835698502,0.1716177861873227,0.3627179651255682,40.18555199633806,41.493750458556164,37.3383953028179,105.7
"urti con danni, senza evitamento",5,50.49,nessun drone ancora in volo,False,False,,44181.39899999824,875.0524658347838,0,0,5,5.572,0,1.0000000000000002,6,12,16,0.08533186679886678,0.0,0.16316762395196024,0.06956823133293752,0.09919455997886811,0.05839440153165896,0.04304482735855496,0.03005545652604484,0.5365748993197487,,0.22000000000000006,2.2488888888888834,2.959999999999981,29.764004859654595,0.28815399403805825,1,0.0,0.8634589947089935,0.0,0.31414021164020967,0.0,2.152882962962961,14.638135996246078,16.273981818918035,11.881753485207337,50.4
"urti con danni, senza evitamento",6,297.03,incendi fuori controllo,False,True,,343682.9885199702,1157.064904285662,40,0,41,10.063749999999999,37,5.482500000000001,5,10,23,0.09559275706642852,0.0,0.014027763750013638,0.04751764692679497,0.06734729376379676,0.02778899998878165,0.03385179948154081,0.032305939916288474,0.7771605561767171,0.9995708398011807,0.0,2.1701923076923038,2.959999999999981,132.42879290568993,0.25147902345953504,0,0.0,0.1177890011223345,0.0,0.2054001175243257,0.0,1.58594858571652,82.48047836661489,67.45430500584071,111.76910031378365,297.0
"urti con danni, senza evitamento",7,96.94,nessun drone ancora in volo,False,False,,90834.45049999643,937.0172323086077,22,0,26,0.36000000000000004,24,0.36999999999999994,6,12,24,0.0920384325867712,0.0,0.031798019393440284,0.08085757513239393,0.08891238566812462,0.05262705453544838,0.04234578089539816,0.03381816931435316,0.6696410150603781,,0.0,2.410526315789466,2.949999999999981,52.435807540790414,0.2628526956559893,0,0.0,0.9379772961816298,0.0,0.26811438254834313,0.0,0.761547222708956,33.589655827189,34.59450185337295,32.88488096974808,96.9
"urti con danni, senza evitamento",8,137.11,nessun drone ancora in volo,False,False,,62000.99207999196,452.19890657130736,0,0,5,2.886,0,1.554,6,12,31,0.08264906293916412,0.0,0.038436292028296,0.05818321056087087,0.09517905331485822,0.0498322514769194,0.039736950866698595,0.05267060511025662,0.6659616366415946,,0.15,2.2559259259259186,4.379999999999951,64.14837800207671,0.24079947619019454,1,0.0,1.5820447362022863,0.0,0.7111512278142545,0.049234135667396095,0.14565630750357564,36.482808142206636,29.238040459072057,49.271083122343576,137.1
"urti con danni, senza evitamento",9,213.89,incendi fuori controllo,False,True,,225838.28099998095,1055.8618027957405,38,0,41,2.364,38,1.374,5,10,24,0.09597900072873125,0.0,0.015572646375863222,0.06654900494023003,0.07395935605528244,0.023976498823381303,0.04135303193230842,0.03272320663269518,0.7458662552396106,0.9731338912482134,0.0,2.5573170731707213,6.649999999999903,100.53376605339665,0.2506637183651605,0,0.0,0.38369971936389186,0.0,0.18089828709830225,0.00304022450888681,1.1791736155655264,59.50091459461104,49.48263311124257,81.32358036330875,213.8
"urti con danni, senza evitamento",10,155.82,incendi fuori controllo,False,True,,185961.1610799889,1193.4357661403474,37,0,41,3.8685714285714288,28,3.8314285714285714,5,10,26,0.08970848451991988,0.0,0.03118983442433415,0.06925191460233347,0.07492619689386128,0.028392803662344375,0.04153296538741434,0.029949086552858762,0.7247571984762935,0.9700163995341315,0.0,2.712857142857129,5.489999999999927,81.01288270888728,0.2778146690342942,1,0.0,0.5957103123662811,0.0,0.39310262267467244,0.0,1.488100798705895,49.66713311138018,47.27323979591843,54.624578497066324,155.8
"urti con danni, senza evitamento",11,207.71,nessun drone ancora in volo,False,False,,173320.24767998533,834.4338148379246,29,0,30,1.8569230769230765,21,7.799999999999997,6,12,20,0.0941246768595948,0.0,0.021075056569254458,0.0722561905220344,0.07912072922181793,0.0375764286745988,0.03927751833486318,0.03450323367515891,0.7161908430016696,,0.0,2.2530232558139494,2.9299999999999815,101.9455584045433,0.23939810677279227,1,0.0,0.5773230621088108,0.0,0.42438625435957383,0.00024073182474723158,2.590835923859816,53.57934634810704,51.614374686803004,62.198280324017404,207.70000000000002
"urti con danni, senza evitamento",12,48.61,nessun drone ancora in volo,False,False,,31853.873239997283,655.2946562435154,0,0,5,0.8039999999999999,0,0.7540000000000001,6,12,35,0.08675144603090201,0.0,0.03420078173215443,0.08564767194678502,0.1885928821230532,0.040938078584654966,0.10750531440717977,0.08899060549955128,0.45412466570648036,,0.0,3.2016666666666427,8.249999999999869,16.828834753859613,0.2680127672267556,0,0.0,1.4729766803840876,0.0,0.5385459533607656,0.0,0.033406716417910445,13.947409898191315,13.192046485260779,16.45943655333636,48.6
urti sempre fatali,1,126.66,tutti gli incendi spenti,True,False,126.66,53442.33483999348,421.935376914523,0,0,5,1.222,0,1.036,0,0,0,1.0082466946190114,0.0,0.066687720406347,0.3189970524762514,0.16375203958097703,0.16377177746191812,0.21034001789558282,0.07645139217855054,0.0,0.9852188576382915,0.0,5.418644067796539,15.099999999999723,57.99150064802092,0.49389601498536795,5,0.0,2.6320431806213804,0.09320695102685624,0.771656134807793,0.130463401790416,0.21882428901770173,18.838260726795195,14.572370756359414,26.505610913294106,126.60000000000001
urti sempre fatali,2,149.0,tutti gli incendi spenti,True,False,149.0,59863.64225999263,401.76941114089016,0,0,5,1.7259999999999998,0,1.26,0,0,1,0.4402986155498886,0.0006487695749443111,0.08280760626398788,0.32280201342260634,0.14001677852344369,0.18700782997753965,0.20335011185671942,0.06401565995526938,0.0,0.9855693411768559,0.0,6.059833333333295,27.32000000000147,72.50289992955939,0.46727516159827626,3,0.0,2.8453020134228186,0.15100671140939598,0.913543765390642,0.05324384787472031,0.8961232343353468,30.434579808454867,31.178903300917664,27.010958475350492,149.0
urti sempre fatali,3,200.89,tutti gli incendi spenti,True,False,200.89000000000001,100127.44657999148,498.4192671610905,3,0,6,12.077499999999999,0,2.3625000000000007,0,0,1,0.6650667047747147,0.0006056382431516182,0.04076443161266255,0.36063683276061287,0.12133505898745539,0.25942472663297333,0.16051072726359078,0.05732822274213884,0.0,0.9870933137162055,0.0,5.690294117647024,26.330000000001316,103.66735894406234,0.5220893070978488,2,0.0,2.518509296148738,0.13147410358565736,0.8537364431164253,0.03050298804780877,0.33422012847976,35.6465848755599,32.66071230384589,41.47514532185391,200.8
urti sempre fatali,4,164.04,tutti gli incendi spenti,True,False,164.04,66794.2408799917,407.1826437453774,0,0,5,5.868,0,3.6019999999999994,0,0,0,0.8845652701343313,0.0,0.034153255303583215,0.31383605624623223,0.12238376818658349,0.2636501259853659,0.2063571893033079,0.05961960497440824,0.0,0.952518275543395,0.0,7.385636363636275,20.290000000000372,71.41249906555336,0.4874038179056503,0,0.0,3.205182926829262,0.1951219512195122,0.8967987804878049,0.015497967479674822,0.09349419598138026,29.046042040977373,23.91690365231458,34.141422487549484,158.92000000000002
urti sempre fatali,5,267.86,incendi fuori controllo,False,True,,392733.6400999528,1466.1899503470202,59,0,41,5.32609375,0,28.003333333333337,0,0,0,0.9688951749831872,0.0,0.01908335199979976,0.3412976928243446,0.14488601010469443,0.25451417407084576,0.1720394982452407,0.06817927275440705,0.0,0.9747753936772845,0.0,4.981891891891829,13.409999999999759,128.97334888221957,0.5412996666118277,1,0.0,2.3361961662932558,0.08588498879761015,0.7741604138587529,0.07826114015434424,0.09518700543848274,62.09043439279171,68.88499171251775,51.14579971964701,267.8
urti sempre fatali,6,131.27,tutti gli incendi spenti,True,False,131.27,58495.30153999287,445.61058535836725,0,0,5,3.838,0,1.982,0,0,2,0.3189401659845273,0.001498184403646872,0.04361240191970635,0.30382037022911407,0.15374165206566914,0.18157233183507582,0.24168380691183483,0.07556943703818084,0.0,0.9437454601454451,0.0,6.679122807017518,28.640000000001677,57.35466087057749,0.4764624922856531,2,0.0,2.5059705284552845,0.1013719512195122,0.8941819105691038,0.12620680894308955,0.6787468725990323,20.50996332199138,15.967436768914906,28.45988714723535,131.2
urti sempre fatali,7,138.75,tutti gli incendi spenti,True,False,138.75,64033.94495999374,461.5059096215765,0,0,5,19.538,0,4.089999999999999,0,0,0,0.9623739710448402,0.0,0.037495495495493185,0.3710690690688187,0.1526066066065549,0.208738738738636,0.1611831831831237,0.06890690690691999,0.0,0.9738683769416413,0.0,4.472833333333283,10.119999999999829,65.61295489003726,0.512159238061808,2,0.0,3.0523912521028667,0.14563806777217014,0.7136705920051277,0.010514299447248252,0.07056776841516267,28.917185263268646,27.382659277842357,30.07557971930833,138.70000000000002
urti sempre fatali,8,127.03,tutti gli incendi spenti,True,False,127.03,50183.28259999355,395.05063843181574,0,0,5,1.828,0,2.6740000000000004,0,0,0,0.973461521786524,0.0,0.06062216274371563,0.33829279172877535,0.13549292817966696,0.22304442520128825,0.17167204597333108,0.07087564617283211,0.0,0.7173949734562086,0.0,6.382682926829188,17.91,62.85688064234571,0.48043451773991364,2,0.0,2.728215223097113,0.05984251968503937,0.7983070866141732,0.02368766404199473,0.2165041804701048,17.186248743497067,13.208078338421975,26.260589613307488,127.0
urti sempre fatali,9,131.66,tutti gli incendi spenti,True,False,131.66,57799.955279993555,439.00923044199874,0,0,5,2.258,0,1.3940000000000001,0,0,0,0.9975320119004644,0.0,0.04071092207200111,0.3753924249326584,0.15014684287807561,0.13770317484426242,0.22276444376919394,0.07328219150338139,0.0,0.9089597695680516,0.0,6.284821428571364,19.39000000000023,59.246741621594325,0.5033587778813763,1,0.0,2.8520770010131646,0.10562310030395136,0.873847517730496,0.18889311043566315,0.25011937397197126,19.023718060436472,13.87308890577509,32.15426342518185,131.6
urti sempre fatali,10,153.91,tutti gli incendi spenti,True,False,153.91,73088.87865999174,474.8806358260785,0,0,5,0.8019999999999999,0,3.342,0,0,0,0.879873787081211,0.0,0.05473436857038464,0.3474270677666393,0.14246962510553013,0.24198124445007824,0.1486474779632552,0.06474021614364686,0.0,0.981180024663268,0.0,4.500655737704867,11.069999999999808,76.00303059510134,0.4754374492628178,2,0.0,2.7769114143383176,0.037037037037037035,0.9288986354775851,0.040448343079921976,0.9720637247202639,22.736461237753343,18.90881466231715,30.15975265267109,153.9
urti sempre fatali,11,130.64,tutti gli incendi spenti,True,False,130.64000000000001,61054.20803999253,467.34696907526427,0,0,5,0.10800000000000001,0,2.008,0,0,0,1.0331053335117901,0.0,0.03318917125943956,0.33511941212471114,0.16512298428244893,0.21672790365370223,0.1743978362930549,0.0754426923862163,0.0,0.9598489521933413,0.0,4.409677419354798,19.560000000000258,62.47243581193349,0.5291279255785721,2,0.0,2.108856559469115,0.06508422664624809,0.8539656712608519,0.09437212863705963,0.1523564189189188,24.21110786107166,23.787669547145047,27.172313045709313,130.6
urti sempre fatali,12,109.88,tutti gli incendi spenti,True,False,109.88,43992.86093999451,400.3718687658765,0,0,5,0.8039999999999999,0,0.7320000000000001,0,0,1,0.4981245604575671,0.0008039072928044133,0.029630809367795774,0.23816891153975503,0.17547172673214306,0.1785584273752661,0.2905290620068837,0.08764106297781081,0.0,0.9532498470358511,0.0,7.227924528301797,19.350000000000225,40.69487566448088,0.40983756479610395,2,0.0,2.619004250151794,0.061930783242258654,0.8660746812386146,0.4195506982392218,0.1325037310781033,16.849233843425395,11.97605428236869,27.582639210749697,108.98
