variant,seed,duration_s,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,response_delay_s,collisions,near_misses,min_distance_m,emergency_fraction,time_explore,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
ricerca casuale,1,300.0,True,False,208.0,34060.21204999575,0,10,4,19.23090909090909,3.5281818181818196,0,0,0.9039099619305244,0.0,0.6916027777799792,0.11209444444438277,0.03690277777778449,0.13416666666658492,0.006538888888889134,0.018694444444443757,0.8018422979835521,0.0,0.7356249999999926,8.66999999999986,2868.589792969517,1172.3514087635428,1,0.0,0.9519444444444458,0.022333333333333334,0.23156793106815154,0.012472222222222221,0.30271435491684445,41.131679355587465,26.175071788194405,55.35760541940799,248.27
ricerca casuale,2,219.68,False,True,,194211.5621000069,43,5,41,6.354347826086956,5.963571428571429,0,0,1.076947089693561,0.0,0.773970472201342,0.07564791211457712,0.044610342316104966,0.08600388443794717,0.0015590859431900783,0.01820830298616132,0.6386538506333577,0.0,0.17124999999999954,2.619999999999988,2120.0092748435413,725.4152064654965,0,0.0,0.5594262295081975,0.0,0.05630572085566748,0.0060716454159077185,0.10663363678520017,25.45344817671982,18.098502272123582,32.55430262833342,150.27
ricerca casuale,3,300.0,True,False,156.62,20264.52369999764,0,4,3,24.865,1.4849999999999968,0,0,1.019054045675306,0.0,0.8738055555617341,0.04595555555555403,0.022900000000001464,0.047338888888886106,0.0,0.01000000000000039,0.6112207841533569,0.0,0.0,0.0,3080.666445479822,1041.099093465612,0,0.0,0.49383333333333324,0.0,0.0968247287691744,0.009027777777777735,0.836600552347477,32.22022461123762,25.665666475694476,36.97433956505856,202.20000000000002
ricerca casuale,4,300.0,True,False,279.56,31156.094599995577,0,7,3,23.45375,1.4299999999999917,0,0,1.0394616469763927,0.0,0.7899916666710157,0.0844916666666301,0.035302777777785586,0.0735472222221956,0.0,0.01666666666666573,0.6140263801573023,0.0,0.0,0.0,2961.930726890391,1020.9626525083547,0,0.0,0.5978333333333314,0.0,0.11519081693500387,0.01672222222222221,1.0278528708134014,26.869427784524028,16.562530243055598,38.2607676023392,164.06
ricerca casuale,5,300.0,True,False,110.71000000000001,20387.160049996557,0,1,1,42.14000000000001,1.1400000000000077,0,0,1.1129162321532609,0.0,0.9074555555624686,0.03205000000000614,0.015258333333332678,0.037455555555561765,0.0011138888888888774,0.006666666666666931,0.5128621881475317,0.0,0.3341666666666661,2.399999999999993,3088.1989449233215,962.5815428726152,1,0.0,0.48005555555555324,0.0,0.16399956455475787,0.0002777777777777778,0.3551609691337538,34.703429088300126,29.500463038194443,38.09708838724419,300.0
ricerca casuale,6,300.0,False,False,,34629.287749996634,0,7,4,32.494285714285716,1.4814285714285715,0,0,1.069742780080162,0.0,0.7146805555582608,0.12025833333326424,0.03394722222222934,0.11686388888882288,0.00036111111111111137,0.013888888888888506,0.7765191969635318,0.0,0.0,0.0,3011.9517095630767,1166.49075860218,0,0.0,0.6773888888888907,0.0,0.18778703703703462,0.018361111111111134,1.4863432389309879,40.68128600226881,35.61630781250006,44.705729329312774,300.0
ricerca casuale,7,300.0,True,False,281.09000000000003,21346.613950000334,0,7,3,25.784285714285712,1.2642857142857211,0,0,1.0145406108852828,0.0,0.7539305555591175,0.09516944444439816,0.03345555555556242,0.09895555555550584,0.002933333333333283,0.01555555555555484,0.7578251304116588,0.0,0.37714285714285384,4.679999999999945,2974.3924504132383,1077.5204122828306,1,0.0,0.6116666666666689,0.0,0.15069273938968517,0.018166666666666654,1.8221108003729016,31.615219204448668,23.00548961805557,39.734662375731034,162.11
ricerca casuale,8,300.0,True,False,59.81,21395.368400001084,0,9,4,23.766666666666666,1.2311111111111077,0,0,1.0433618353816594,0.0,0.7696111111150153,0.08079999999996679,0.0376305555555616,0.09414166666662133,0.0012416666666666524,0.016574999999999084,0.7772418208906956,0.0,0.14899999999999985,2.3599999999999937,2961.666270886845,1015.3314878721156,0,0.0,0.5768888888888879,0.0,0.15218034936344668,0.012861111111111071,1.2299250832408462,27.647533402743026,14.322462708333333,39.40270749634509,168.93
ricerca casuale,9,300.0,True,False,96.75,20402.58314999772,0,10,4,13.570000000000007,2.7289999999999988,0,0,1.0760581863938596,0.0,0.7719638888928445,0.08066111111107803,0.031116666666672333,0.10150555555550352,0.0010944444444444333,0.013658333333332997,0.7880691323104041,0.0,0.17130434782608697,2.099999999999999,3046.4086127350547,987.8839803582438,1,0.0,0.4846666666666698,0.0,0.20307138369339278,0.020500000000000042,2.5381468697930316,26.79944897641297,13.643276649305575,38.57382785179094,175.4
ricerca casuale,10,300.0,True,False,47.11,19417.425250001426,0,8,3,23.97555555555555,1.6811111111111119,0,0,1.0222615741104877,0.0,0.8085722222269769,0.06787777777775632,0.03321111111111785,0.0744361111110837,0.0004944444444444448,0.015408333333332648,0.8260283910719528,0.0,0.06357142857142863,1.7800000000000014,2963.1859138290733,1034.3046047464582,2,0.0,0.648000000000004,0.0,0.13475860297893996,0.009833333333333345,0.5340521597391994,29.6478412662045,20.69525923611112,37.21485111111109,159.8
